"RFO_Part","Section_Number","Propositional_ID","Natural_Language","Atomic_Propositions","Formal_Logic_Statement","Dependencies","Justification_Rules","Validation_Status","Logical_Check","Real_World_Check","Validation_Notes","Confidence_Level"
"6.1 (Presolicitation)","6.103-5_e","P_6_103_5_e","6.103-5(e) With the exception of sole-source 8(a) contracts over $30 million (section 811 of Public Law 111-84, 41 U.S.C. 3304 note), contracts awarded using this authority do not require written justifications and approvals described in 6.104.","P_6_103_5_e_a: Contracts awarded using this authority do not require written J&A described in 6.104 except for sole-source 8(a) contracts over $30 million.","~(Sole_source_8a ^ >$30M) -> ~P_6_104_required","P_6_104","Modus Ponens (MP): Rule 1; De Morgan's Rule (DM): Rule 9","VALID","PASS","PASS","No contradictions detected. General exemption from J&A with one exception for 8(a) sole-source over $30M. Cross-references 6.104.","HIGH"
"6.1 (Presolicitation)","6.103-6_a","P_6_103_6_a","6.103-6(a) National security. Authority. 10 U.S.C. 3204(a)(6) or 41 U.S.C. 3304(a)(6).","P_6_103_6_a_a: Authority for national security exception is 10 U.S.C. 3204(a)(6) or 41 U.S.C. 3304(a)(6).","P_6_103_6_a_a","None","Simplification (Simp): Rule 6","VALID","PASS","PASS","No contradictions detected. Statutory authority citation properly represented.","HIGH"
"6.1 (Presolicitation)","6.103-6_b","P_6_103_6_b","6.103-6(b) National security. Full and open competition need not be provided for when disclosing the agency's needs would compromise national security unless the agency can limit the number of sources from which it solicits bids or proposals.","P_6_103_6_b_a: Full and open competition need not be provided for when disclosing agency needs would compromise national security unless the agency can limit the number of sources solicited.","Compromise_national_security -> (~Full_and_open v Limit_sources)","None","Modus Ponens (MP): Rule 1; Addition (Add): Rule 8","VALID","PASS","PASS","No contradictions detected. Conditional exception with alternative outcomes (no competition or limited competition).","HIGH"
"6.1 (Presolicitation)","6.103-7_a","P_6_103_7_a","6.103-7(a) Public interest. Authority. 10 U.S.C. 3204(a)(7) or 41 U.S.C. 3304(a)(7).","P_6_103_7_a_a: Authority for public interest exception is 10 U.S.C. 3204(a)(7) or 41 U.S.C. 3304(a)(7).","P_6_103_7_a_a","None","Simplification (Simp): Rule 6","VALID","PASS","PASS","No contradictions detected. Statutory authority citation properly represented.","HIGH"
"6.1 (Presolicitation)","6.103-7_b","P_6_103_7_b","6.103-7(b) Public interest. Full and open competition need not be provided for when the agency head determines it is not in the public interest for that particular acquisition.","P_6_103_7_b_a: Full and open competition need not be provided for when the agency head determines it is not in the public interest for that particular acquisition.","Agency_head_determines_not_public_interest -> ~Full_and_open_required","None","Modus Ponens (MP): Rule 1","VALID","PASS","PASS","No contradictions detected. Agency head determination triggers exception from competition requirement.","HIGH"
"6.1 (Presolicitation)","6.103-7_c","P_6_103_7_c","6.103-7(c) Limitations. (1) A written determination to use this authority must be made in accordance with subpart 1.5, by the head of the executive agency. The authority may not be delegated and the determination must not be made on a class basis. (2) Agencies must notify Congress, in writing, of such determination not fewer than 30 days before awarding the contract.","P_6_103_7_c1: Written determination must be made by the head of the executive agency per subpart 1.5; authority may not be delegated; determination must not be made on a class basis; P_6_103_7_c2: Agencies must notify Congress in writing not fewer than 30 days before awarding the contract","(P_6_103_7_c1 ^ P_6_103_7_c2)","None","Conjunction (Conj): Rule 7","VALID","PASS","PASS","No contradictions detected. Both procedural requirements must be satisfied. Non-delegable authority. Mandatory requirements; enforceable.","HIGH"
"6.1 (Presolicitation)","6.104_a","P_6_104_a","6.104(a) Justification and approval. A justification and approval must support procedures under 6.103, except 6.103-5 and 6.103-7.","P_6_104_a_a: A J&A must support procedures under 6.103 except 6.103-5 and 6.103-7.","P_6_103 ^ ~(P_6_103_5 v P_6_103_7) -> J_and_A_required","P_6_103; P_6_103_5; P_6_103_7","Modus Ponens (MP): Rule 1; De Morgan's Rule (DM): Rule 9","VALID","PASS","PASS","No contradictions detected. Mandatory J&A with two exceptions. Cross-references 6.103, 6.103-5, 6.103-7.","HIGH"
"6.1 (Presolicitation)","6.104_b","P_6_104_b","6.104(b) Contracting officers require the support of the broader acquisition team when making decisions regarding competition. Technical and requirements personnel are responsible for providing, and certifying as accurate and complete, necessary data to support their recommendation for other than full and open competition.","P_6_104_b_a: Contracting officers require acquisition team support when making competition decisions; P_6_104_b_b: Technical and requirements personnel are responsible for providing and certifying as accurate and complete the necessary data to support their recommendation for other than full and open competition","(P_6_104_b_a ^ P_6_104_b_b)","None","Conjunction (Conj): Rule 7","VALID","PASS","PASS","No contradictions detected. Both elements required simultaneously. Mandatory requirement; enforceable.","HIGH"
"6.1 (Presolicitation)","6.104_c","P_6_104_c","6.104(c) Justifications under 6.103, except for 6.103-7, may be made on an individual or class basis. Justifications under 6.103-7 may only be made on an individual basis.","P_6_104_c_a: Justifications under 6.103 except 6.103-7 may be made on an individual or class basis; P_6_104_c_b: Justifications under 6.103-7 may only be made on an individual basis","(~P_6_103_7 -> (Individual_or_class_basis)) ^ (P_6_103_7 -> Individual_basis_only)","P_6_103; P_6_103_7","Modus Ponens (MP): Rule 1; Conjunction (Conj): Rule 7","VALID","PASS","PASS","No contradictions detected. Two conditional rules: general case (individual or class) except 6.103-7 which is restricted to individual only. Both rules apply simultaneously. Cross-references 6.103, 6.103-7.","HIGH"
"6.1 (Presolicitation)","6.104-1_a","P_6_104_1_a","6.104-1(a) Justification content. At a minimum, each justification must include the following information: (1) Identification of the agency and the contracting activity, and specific identification of the document as a ""Justification for other than full and open competition."" (2) Nature and/or description of the action being approved. (3) A description of the supplies or services required to meet the agency's needs (including the estimated value). (4) An identification of the statutory authority permitting other than full and open competition. (5) A demonstration that the proposed contractor's unique qualifications or the nature of the acquisition requires using the authority cited. (6) A description of efforts made to ensure that offers are solicited from as many potential sources as possible, including whether a notice was or will be publicized as required by part 5 and, if not, which exception under part 5 applies. (7) A determination by the contracting officer that the anticipated cost to the Government will be fair and reasonable. (8) The market research conducted (see part 10) and the results or a statement of the reason market research was not conducted. (9) Any other facts supporting using other than full and open competition, such as: (i) When 6.103-1 is cited for follow-on acquisitions as described in 6.103-1(c)(2), an estimate of the cost to the Government that would be duplicated and how the estimate was derived. (ii) When 6.103-2 is cited, data, estimated cost, or other rationale as to whether and how much the Government would be harmed. (10) A listing of the sources, if any, that expressed an interest in the acquisition in writing. (11) A statement of the actions, if any, the agency may take to remove or overcome any barriers to competition before any subsequent acquisition for the supplies or services required. (12) Contracting officer certification that the justification is accurate and complete to the best of the contracting officer's knowledge and belief.","P_6_104_1_a1: Identification of agency, contracting activity, and document as a J&A; P_6_104_1_a2: Nature/description of the action; P_6_104_1_a3: Description of supplies/services including estimated value; P_6_104_1_a4: Identification of statutory authority; P_6_104_1_a5: Demonstration of unique qualifications or nature of acquisition; P_6_104_1_a6: Description of efforts to solicit from as many sources as possible; P_6_104_1_a7: CO determination of fair and reasonable cost; P_6_104_1_a8: Market research conducted and results; P_6_104_1_a9: Other supporting facts; P_6_104_1_a10: Listing of sources that expressed interest; P_6_104_1_a11: Statement of actions to remove barriers to competition; P_6_104_1_a12: CO certification that justification is accurate and complete","(P_6_104_1_a1 ^ P_6_104_1_a2 ^ P_6_104_1_a3 ^ P_6_104_1_a4 ^ P_6_104_1_a5 ^ P_6_104_1_a6 ^ P_6_104_1_a7 ^ P_6_104_1_a8 ^ P_6_104_1_a9 ^ P_6_104_1_a10 ^ P_6_104_1_a11 ^ P_6_104_1_a12)","P_6_103_1; P_6_103_2","Conjunction (Conj): Rule 7","VALID","PASS","PASS","No contradictions detected. All 12 elements are co-required (conjunction). Mandatory J&A content requirements. Cross-references 6.103-1 and 6.103-2 for specific supplemental content. Long compound section; further decomposition of individual elements may improve precision.","MEDIUM"
"6.1 (Presolicitation)","6.104-1_b","P_6_104_1_b","6.104-1(b) For sole-source 8(a) contracts over $30 million, the justification must include, at a minimum, the contents described at paragraphs (a)(3), (a)(4), and (a)(7) of this section. It should also include a determination that using a sole-source contract is in the best interest of the agency concerned and any other matters specified by agency procedures.","P_6_104_1_b_a: For sole-source 8(a) contracts over $30 million, J&A must include paragraphs (a)(3), (a)(4), and (a)(7) at minimum; P_6_104_1_b_b: Should also include a determination that sole-source is in the best interest of the agency and any other matters per agency procedures","(P_6_104_1_b_a ^ P_6_104_1_b_b)","P_6_104_1_a","Conjunction (Conj): Rule 7","VALID","PASS","PASS","No contradictions detected. Reduced J&A requirements for 8(a) sole-source over $30M. Conjunction of mandatory and advisory elements. Cross-references 6.104-1(a).","HIGH"
"6.1 (Presolicitation)","6.104-2_a","P_6_104_2_a","6.104-2(a) Approval of justification. The justification for other than full and open competition must be approved in writing. Officials at a higher authority level may approve lower dollar justifications. For example, the senior procurement executive as well as the head of the procuring activity may approve a $60 million justification. Approval levels are as follows: Table 6-1. Approval authorities for other than full and open competition. Value (including options) / Approval authority: $900,000 or below -- Contracting officer. Accomplished by certification required at 6.104(a)(12). >$900,000 - $20,000,000 -- Advocate for competition. Not delegable. >$20,000,000 - $90,000,000 (>$20,000,000 - $150,000,000 for DoD, NASA, and the Coast Guard) -- Head of the procuring activity. May be delegated to a member of the armed services at the general or flag officer level or a civilian in a grade above the GS-15 (or equivalent) level. >$90,000,000 (>$150,000,000 for DoD, NASA, and the Coast Guard) -- Senior procurement executive. Not delegable, except in the case of the Under Secretary of Defense for Acquisition and Sustainment, acting as the senior procurement executive for the Department of Defense.","P_6_104_2_a1: $900,000 or below approved by contracting officer, accomplished by certification required at 6.104(a)(12); P_6_104_2_a2: >$900,000 - $20,000,000 approved by advocate for competition, not delegable; P_6_104_2_a3: >$20,000,000 - $90,000,000 (>$20,000,000 - $150,000,000 for DoD, NASA, and the Coast Guard) approved by head of the procuring activity, may be delegated to a member of the armed services at the general or flag officer level or a civilian in a grade above the GS-15 (or equivalent) level; P_6_104_2_a4: >$90,000,000 (>$150,000,000 for DoD, NASA, and the Coast Guard) approved by senior procurement executive, not delegable, except in the case of the Under Secretary of Defense for Acquisition and Sustainment, acting as the senior procurement executive for the Department of Defense","(P_6_104_2_a1 v P_6_104_2_a2 v P_6_104_2_a3 v P_6_104_2_a4) ^ (P_6_104_2_a4 -> (~Delegable v USD_A_and_S_as_DoD_SPE))","P_6_104_1_a","Disjunctive Syllogism (DS): Rule 4; Modus Ponens (MP): Rule 1","VALID","PASS","PASS","No contradictions detected. Disjunctive approval tiers based on contract value. Exactly one tier applies per contract. Higher officials may approve lower-tier justifications. The SPE tier (a4) includes an 'except' for USD(A&S) as DoD SPE, modeled as negated non-delegation with disjunctive exception. Long compound section with threshold-based conditions.","MEDIUM"
"6.1 (Presolicitation)","6.104-2_b","P_6_104_2_b","6.104-2(b) A class justification for other than full and open competition must be approved in writing in accordance with agency procedures. The estimated total value of the class will determine the approval level.","P_6_104_2_b_a: Class justification must be approved in writing per agency procedures; P_6_104_2_b_b: Estimated total value of the class determines the approval level","(P_6_104_2_b_a ^ P_6_104_2_b_b)","None","Conjunction (Conj): Rule 7","VALID","PASS","PASS","No contradictions detected. Both requirements apply. Mandatory requirement; enforceable.","HIGH"
"6.1 (Presolicitation)","6.104-2_c","P_6_104_2_c","6.104-2(c) A justification must include the estimated dollar value of all options to determine the approval level.","P_6_104_2_c_a: A justification must include estimated dollar value of all options to determine the approval level.","P_6_104_2_c_a","P_6_104_2_a","Simplification (Simp): Rule 6","VALID","PASS","PASS","No contradictions detected. Mandatory requirement that options value affects approval level determination. Cross-references 6.104-2(a) approval tiers.","HIGH"
"6.3 (Postaward)","6.301_a","P_6_301_a","6.301(a) Availability of the justification. The agency must make publicly available the justification required by 6.104 as required by 10 U.S.C. 3204(f) and 41 U.S.C. 3304(f).","P_6_301_a_a: The agency must make publicly available the justification required by 6.104.","P_6_301_a_a","P_6_104","Simplification (Simp): Rule 6","VALID","PASS","PASS","No contradictions detected. Mandatory public availability requirement. Cross-references 6.104.","HIGH"
"6.3 (Postaward)","6.301_b","P_6_301_b","6.301(b) The justification must be made publicly available within 14 days after contract award, except-- (1) Justifications under 6.103-2 must be posted within 30 days after contract award; and (2) Justifications for brand-name descriptions under 6.103-1(d) must be posted with the solicitation (see part 5).","P_6_301_b_default: J&A must be publicly available within 14 days after contract award; P_6_301_b_1: Justifications under 6.103-2 must be posted within 30 days after award; P_6_301_b_2: Justifications for brand-name descriptions under 6.103-1(d) must be posted with the solicitation","(~P_6_103_2 ^ ~P_6_103_1_d -> P_6_301_b_default) ^ (P_6_103_2 -> P_6_301_b_1) ^ (P_6_103_1_d -> P_6_301_b_2)","P_6_103_2; P_6_103_1_d","Modus Ponens (MP): Rule 1; Conjunction (Conj): Rule 7","VALID","PASS","PASS","No contradictions detected. Default 14-day rule with two specific exceptions. Each scenario has a distinct posting timeline. Cross-references 6.103-2 and 6.103-1(d).","HIGH"
"6.3 (Postaward)","6.301_c","P_6_301_c","6.301(c) The justifications must be made publicly available-- (1) At the Government Point of Entry (GPE); (2) On the website of the agency, which may provide access to the justifications by linking to the GPE; and (3) For a minimum of 30 days.","P_6_301_c_1: J&A must be posted at the GPE; P_6_301_c_2: J&A must be posted on the agency website, which may link to the GPE; P_6_301_c_3: J&A must be posted for a minimum of 30 days","(P_6_301_c_1 ^ P_6_301_c_2 ^ P_6_301_c_3)","None","Conjunction (Conj): Rule 7","VALID","PASS","PASS","No contradictions detected. All three posting requirements are co-required. Mandatory requirement; enforceable.","HIGH"
"6.3 (Postaward)","6.301_d","P_6_301_d","6.301(d) Contracting officers must carefully screen all justifications for contractor proprietary data and remove all such data, and such references and citations as are necessary to protect the proprietary data, before making the justifications available for public inspection. Contracting officers must also be guided by the exemptions to disclosure of information contained in the Freedom of Information Act (5 U.S.C. 552) and the prohibitions against disclosure in part 24 in determining whether the justification, or portions of it, are exempt from posting.","P_6_301_d_a: COs must screen J&As for contractor proprietary data and remove such data before public posting; P_6_301_d_b: COs must be guided by FOIA exemptions (5 U.S.C. 552) and part 24 disclosure prohibitions in determining whether J&A or portions are exempt from posting","(P_6_301_d_a ^ P_6_301_d_b)","None","Conjunction (Conj): Rule 7","VALID","PASS","PASS","No contradictions detected. Both screening and FOIA guidance requirements apply. Mandatory requirement; enforceable.","HIGH"
"6.3 (Postaward)","6.301_e","P_6_301_e","6.301(e) The requirements of paragraphs (a) through (c) do not apply if posting the justification would compromise national security or create other security risks.","P_6_301_e_a: The public posting requirements of paragraphs (a) through (c) do not apply if posting would compromise national security or create other security risks.","(Compromise_national_security v Other_security_risks) -> ~(P_6_301_a ^ P_6_301_b ^ P_6_301_c)","P_6_301_a; P_6_301_b; P_6_301_c","Modus Ponens (MP): Rule 1; De Morgan's Rule (DM): Rule 9","VALID","PASS","PASS","No contradictions detected. Security-based exemption from posting requirements. Cross-references paragraphs (a) through (c).","HIGH"
